(Почти) Пять Докторов,,,
Джек Харкнесс.txt,Десятый Доктор,Роза Тайлер Донна Ноубл Джек Харкнесс,
Джекки Лейн.txt,,Додо Чаплет,
Дженна Коулман.txt,,Клара Освальд,
Дженни Чаплин.txt,Первый Доктор,,
Дженни.txt,Пятый Доктор Десятый Доктор,Адам Митчелл Донна Ноубл Марта Джонс,Даврос Адам Митчелл
Джеральд Тейлор.txt,,,
Джеральд Хоран.txt,,,
Джеремайя Кэттлвелл.txt,,,
Джеффри Биверс.txt,,Лиз Шоу,Мастер
Джилли Китцинжер.txt,,Джек Харкнесс,
Джозеф Лидстер.txt,,,
Джозеф Тремейн.txt,,,
Джон (Тук-тук).txt,,Билл Поттс,
Джон Бентон.txt,,,
Джон Дирт.txt,,,
Джон Дэвис.txt,,,
Джон и Джиллиан.txt,,,
Джон Стэндинг.txt,,,
Джонатан Бейли.txt,,,Мастер
Джонатан Стратт.txt,,,
Джордж Кулурис.txt,,,
Джорджия Моффетт.txt,,,
Джудунский беглец.txt,Тринадцатый Доктор,Джек Харкнесс,Джудуны
Ди Ди Бласко.txt,,,
Дидий.txt,,,
Дикари (ТВ история).txt,Первый Доктор,,
Дикий щёлкающий бородавочник.txt,,,
Диметродоны.txt,,,
Динозавры на космическом корабле.txt,Одиннадцатый Доктор,Эми Понд Рори Уильямс,
Дистанционное наведение ТАРДИС.txt,Третий Доктор,,Мастер
Доктор - список появлений.txt,,,
Доктор Кто,,,
Доктор Кто (фильм).txt,Седьмой Доктор Восьмой Доктор,,Далеки Мастер
Доктор Кто и нерв-машина.txt,Первый Доктор Пятый Доктор Шестой Доктор Седьмой Доктор Восьмой Доктор Девятый Доктор Десятый Доктор Одиннадцатый Доктор Двенадцатый Доктор Тринадцатый Доктор,Барбара Райт,Далеки Киберлюди
Доктор Кто и пираты.txt,Шестой Доктор,,
Доктор Кто и силурианцы.txt,Третий Доктор,Лиз Шоу,
Доктор Кто.txt,Первый Доктор Пятый Доктор Седьмой Доктор Восьмой Доктор Одиннадцатый Доктор,Вики Паллистер K-9 Адрик Эйс Микки Смит Марта Джонс Сара Джейн Смит Эми Понд Рори Уильямс Ривер Сонг Ривер Сонг Джек Харкнесс,Далеки Тишина Даврос Мастер
Доктор танцует.txt,Девятый Доктор,Роза Тайлер Джек Харкнесс,
"Доктор, вдова и платяной шкаф.txt",Одиннадцатый Доктор,Эми Понд Рори Уильямс Ривер Сонг Ривер Сонг,
Доктор.txt,Первый Доктор Второй Доктор Третий Доктор Пятый Доктор Седьмой Доктор Восьмой Доктор Военный Доктор Девятый Доктор Десятый Доктор Одиннадцатый Доктор Двенадцатый Доктор Тринадцатый Доктор,Романа I Роза Тайлер Сара Джейн Смит Ривер Сонг Клара Освальд Ривер Сонг Нардол Билл Поттс,Тишина Вашта Нерада Даврос Мастер Великий Разум
Доктора бесконечности.txt,,,
Долгая игра.txt,Девятый Доктор,Роза Тайлер Адам Митчелл,Адам Митчелл
Дом (Жена Доктора).txt,Одиннадцатый Доктор,Эми Понд,
Дом Лангбэрроу.txt,,,
Доминаторы (ТВ история).txt,Второй Доктор,,
